Voltage,Current
36.28906609,2.76
36.2846944,2.77
36.28031599,2.78
36.27593084,2.79
36.27153893,2.8
36.26714023,2.81
36.26273472,2.82
36.25832238,2.83
36.25390318,2.84
36.24947709,2.85
36.24504409,2.86
36.24060417,2.87
36.23615729,2.88
36.23170342,2.89
36.22724255,2.9
36.22277465,2.91
36.21829969,2.92
36.21381766,2.93
36.20932851,2.94
36.20483223,2.95
36.2003288,2.96
36.19581818,2.97
36.19130035,2.98
36.18677529,2.99
36.18224296,3
36.17770335,3.01
36.17315642,3.02
36.16860215,3.03
36.16404052,3.04
36.15947148,3.05
36.15489503,3.06
36.15031113,3.07
36.14571975,3.08
36.14112086,3.09
36.13651445,3.1
36.13190047,3.11
36.12727891,3.12
36.12264974,3.13
36.11801291,3.14
36.11336842,3.15
36.10871623,3.16
36.1040563,3.17
36.09938862,3.18
36.09471315,3.19
36.09002986,3.2
36.08533873,3.21
36.08063972,3.22
36.0759328,3.23
36.07121795,3.24
36.06649514,3.25
36.06176432,3.26
36.05702548,3.27
36.05227859,3.28
36.04752361,3.29
36.0427605,3.3
36.03798925,3.31
36.03320982,3.32
36.02842217,3.33
36.02362628,3.34
36.01882212,3.35
36.01400964,3.36
36.00918883,3.37
36.00435964,3.38
35.99952205,3.39
35.99467601,3.4
35.98982151,3.41
35.9849585,3.42
35.98008696,3.43
35.97520684,3.44
35.97031812,3.45
35.96542076,3.46
35.96051472,3.47
35.95559998,3.48
35.9506765,3.49
35.94574424,3.5
35.94080316,3.51
35.93585324,3.52
35.93089444,3.53
35.92592671,3.54
35.92095004,3.55
35.91596437,3.56
35.91096967,3.57
35.90596592,3.58
35.90095306,3.59
35.89593107,3.6
35.8908999,3.61
35.88585952,3.62
35.88080989,3.63
35.87575098,3.64
35.87068274,3.65
35.86560513,3.66
35.86051813,3.67
35.85542168,3.68
35.85031575,3.69
35.84520031,3.7
35.8400753,3.71
35.8349407,3.72
35.82979646,3.73
35.82464254,3.74
35.8194789,3.75
35.8143055,3.76
35.8091223,3.77
35.80392926,3.78
35.79872634,3.79
35.79351348,3.8
35.78829066,3.81
35.78305783,3.82
35.77781495,3.83
35.77256197,3.84
35.76729885,3.85
35.76202555,3.86
35.75674202,3.87
35.75144822,3.88
35.74614411,3.89
35.74082964,3.9
35.73550477,3.91
35.73016944,3.92
35.72482362,3.93
35.71946726,3.94
35.71410031,3.95
35.70872273,3.96
35.70333447,3.97
35.69793549,3.98
35.69252573,3.99
35.68710514,4
35.68167369,4.01
